species,method,prediction_eff_z,p_hat,lcl,ucl,n_sites_available,n_sites_detected,n_rep,AIC,any_se_bad
Poecilus versicolor,Pitfall8,0.11270612236011016,0.9999996679232578,8.140721595543333e-242,1,64,12,6,NA,FALSE
Poecilus versicolor,Pitfall6,-0.2021175967624249,0.9624274237604946,0.6736766184538154,0.9968635024890915,64,12,6,NA,FALSE
Poecilus versicolor,Pitfall4,-0.6401886118643706,0.9002734493870331,0.5726080444249932,0.9838258289167954,64,12,6,NA,FALSE
Poecilus versicolor,Pitfall2,-1.365577193140986,0.8930674522300694,0.5622440467811287,0.9819191092562104,64,12,6,NA,FALSE
Poecilus versicolor,GPD,1.5626334705307883,0.9239665274648585,0.5774922513275779,0.9908291951376841,64,12,6,NA,FALSE
Pterostichus madidus,Pitfall10,0.35861746750745094,0.9998845277072889,1.6479027838265917e-39,1,64,13,6,NA,FALSE
Pterostichus madidus,Pitfall8,0.11270612236011016,0.9999877775933982,2.3074656176681623e-111,1,64,13,6,NA,FALSE
Pterostichus madidus,Pitfall6,-0.2021175967624249,0.9999850755780751,1.8633563905951955e-92,1,64,13,6,NA,FALSE
Pterostichus madidus,Pitfall4,-0.6401886118643706,0.9999884986108323,3.0790176656144573e-108,1,64,13,6,NA,FALSE
Pterostichus madidus,Pitfall2,-1.365577193140986,0.5586410611773276,0.2591883804590609,0.8207575829106551,64,13,6,NA,FALSE
Pterostichus madidus,GPD,1.5626334705307883,0.9409539404304971,0.48618507941288397,0.9962878556002119,64,13,6,NA,FALSE
Pterostichus melanarius,Pitfall10,0.35861746750745094,0.9999938181858105,5.360333121915878e-193,1,64,9,6,NA,FALSE
Pterostichus melanarius,Pitfall8,0.11270612236011016,0.999999832665365,0,1,64,9,6,NA,FALSE
Pterostichus melanarius,Pitfall6,-0.2021175967624249,0.9999998190582206,0,1,64,9,6,NA,FALSE
Pterostichus melanarius,Pitfall4,-0.6401886118643706,0.9999998159107734,0,1,64,9,6,NA,FALSE
Pterostichus melanarius,Pitfall2,-1.365577193140986,0.3657710885302756,0.08695601844796837,0.7773997426837918,64,9,6,NA,FALSE
Pterostichus melanarius,GPD,1.5626334705307883,0.7299355053250979,0.35240058632434745,0.9306743537867913,64,9,6,NA,FALSE
Pterostichus vernalis,Pitfall10,0.35861746750745094,0.872589724791566,0.31156373806104837,0.9904434405379153,64,8,6,NA,FALSE
Pterostichus vernalis,Pitfall8,0.11270612236011016,0.8876373450226158,0.3725301747831813,0.9905761292262032,64,8,6,NA,FALSE
Pterostichus vernalis,Pitfall6,-0.2021175967624249,0.6939549056498873,0.230344674875575,0.944992895337488,64,8,6,NA,FALSE
Pterostichus vernalis,Pitfall4,-0.6401886118643706,0.48336523983472635,0.13931166874057124,0.8439466830176447,64,8,6,NA,FALSE
Pterostichus vernalis,Pitfall2,-1.365577193140986,0.11030955988006205,0.013571317080754345,0.5277132000633773,64,8,6,NA,FALSE
Pterostichus vernalis,GPD,1.5626334705307883,0.7890159428895372,0.3176333650811988,0.9677881007835346,64,8,6,NA,FALSE
Stenolophus teutonus,Pitfall10,0.35861746750745094,0.8120552591752824,0.3155128685275856,0.975903830990486,64,7,6,NA,FALSE
Stenolophus teutonus,Pitfall8,0.11270612236011016,0.6187670631141422,0.20559118552730318,0.9105480601348641,64,7,6,NA,FALSE
Stenolophus teutonus,Pitfall6,-0.2021175967624249,0.4184401800018021,0.10369931511585946,0.817338801491909,64,7,6,NA,FALSE
Stenolophus teutonus,Pitfall4,-0.6401886118643706,0.40735872925172967,0.09978268464884922,0.8099755582056848,64,7,6,NA,FALSE
Stenolophus teutonus,Pitfall2,-1.365577193140986,0.3226495783112427,0.07861820057268677,0.7267166429705663,64,7,6,NA,FALSE
Stenolophus teutonus,GPD,1.5626334705307883,0.635146819855124,0.2498002507737413,0.9010013210669272,64,7,6,NA,FALSE
Syntomus obscuroguttatus,Pitfall10,0.35861746750745094,0.5971342544975397,0.19828918579083019,0.8988124498839795,64,7,6,NA,FALSE
Syntomus obscuroguttatus,Pitfall8,0.11270612236011016,0.5964991872961842,0.1978288238272096,0.8985957848076619,64,7,6,NA,FALSE
Syntomus obscuroguttatus,Pitfall6,-0.2021175967624249,0.596039732610851,0.19750426448015215,0.8984343249169959,64,7,6,NA,FALSE
Syntomus obscuroguttatus,Pitfall4,-0.6401886118643706,0.5813426100461452,0.18769528569959731,0.892987836328168,64,7,6,NA,FALSE
Syntomus obscuroguttatus,Pitfall2,-1.365577193140986,0.4621252845362206,0.14675507024709813,0.8110277940022661,64,7,6,NA,FALSE
Syntomus obscuroguttatus,GPD,1.5626334705307883,0.6251879490786248,0.25209422280089844,0.8919416471083794,64,7,6,NA,FALSE
Tachys bistriatus,Pitfall10,0.35861746750745094,0.9999999922873352,0,1,64,7,6,NA,FALSE
Tachys bistriatus,Pitfall8,0.11270612236011016,0.9999999999963332,0,1,64,7,6,NA,FALSE
Tachys bistriatus,Pitfall6,-0.2021175967624249,0.9999999999991231,0,1,64,7,6,NA,FALSE
Tachys bistriatus,Pitfall4,-0.6401886118643706,0.8290939230998948,0.36053624336288953,0.9766030831286258,64,7,6,NA,FALSE
Tachys bistriatus,Pitfall2,-1.365577193140986,0.4669721898963309,0.14950726172489176,0.8136438513328956,64,7,6,NA,FALSE
Tachys bistriatus,GPD,1.5626334705307883,0.31181438125922495,0.07983203435428689,0.7029385241153067,64,7,6,NA,FALSE
Trechus quadristriatus,Pitfall10,0.35861746750745094,0.873721014783965,0.6031776924004383,0.9692255259092126,64,23,6,NA,FALSE
Trechus quadristriatus,Pitfall8,0.11270612236011016,0.8051120027570451,0.5315216917929173,0.9376643498356663,64,23,6,NA,FALSE
Trechus quadristriatus,Pitfall6,-0.2021175967624249,0.8034996029130257,0.5295989481386845,0.9369138505259064,64,23,6,NA,FALSE
Trechus quadristriatus,Pitfall4,-0.6401886118643706,0.6648014760367291,0.39846856326198243,0.85586733084977,64,23,6,NA,FALSE
Trechus quadristriatus,Pitfall2,-1.365577193140986,0.5167856435112607,0.2899744886559021,0.7368855698155128,64,23,6,NA,FALSE
Trechus quadristriatus,GPD,1.5626334705307883,0.6225080522573913,0.38799936390252926,0.8109422429013123,64,23,6,NA,FALSE
